, ,instrument date,district,property,floor,unit,area_sq.ft.,price,price/sq.ft.,source,e_n,long_lat
0, ,17/01/2019,Shek Mun,"No. 0019, New Commerce Centre, On Sum Street, Shek Mun, New Territories",11,12,1053,15269.0,@$15,Land Registry,"(839386, 827766)","(114.207152656, 22.389131207)"
1, ,17/01/2019,Tsim Sha Tsui East,"No. 0014, New Mandarin Plaza Tower A, Science Museum Road, Tsim Sha Tsui East, Kowloon",12,7,991,29200.0,@$29,Market,"(836408, 817920)","(114.178233004, 22.300219086)"
2, ,17/01/2019,Wan Chai,"No. 0199, Tiffan Tower, Wan Chai Road, Wan Chai, Hong Kong",1,WF,3342,177126.0,@$53,Market,"(836443, 815427)","(114.178572387, 22.277705727)"
3, ,17/01/2019,Kwun Tong,"No. 0010, TG Place, Shing Yip Street, Kwun Tong, Kowloon",20,G,1787,53800.0,@$30,Market,"(841312, 819039)","(114.225828094, 22.310316944)"
4, ,02/01/2019,Kwun Tong,"Shop 3 on G/F, , No.0001 Horse Shoe Lane, Kwun Tong, Kowloon",-,-,600,73000.0,@$122,Market,"(840944.15625, 819498.835270001)","(114.222259389, 22.314470571)"
5, ,02/01/2019,Yuen Long,"Shop 8 on G/F, , Hing Nin Bldg, No.0030-0036 Hop Yick Road, Yuen Long, New Territories",-,-,500,70000.0,@$140,Market,"(821291, 833629)","(114.031380788, 22.442014271)"
6, ,02/01/2019,Tai Kok Tsui,"Shop G01 on G/F, G/F, Florient Rise, No.0038 Cherry Street, Tai Kok Tsui, Kowloon",-,-,1188,48000.0,@$40,Market,"(834673, 819919)","(114.161393464, 22.318270538)"
7, ,02/01/2019,Yau Ma Tei,"No. 0002, Wing Sing Commerical Building, Wing Sing Lane, Yau Ma Tei, Kowloon",11,WF,828,18498.0,@$22,Market,"(835642.43967, 819100.35249)","(114.170803057, 22.310878283)"
8, ,02/01/2019,Cheung Sha Wan,"No. 0015, D2 Place Two, Cheung Shun Street, Cheung Sha Wan, Kowloon",9,D,6355,139810.0,@$22,Market,"(833254.698, 821898.346)","(114.147623861, 22.336143295)"
9, ,02/01/2019,Yau Ma Tei,"No. 0558-0560, Grand Place, Nathan Road, Yau Ma Tei, Kowloon",19,1,660,24288.0,@$37,Market,"(835623, 819496)","(114.17061423, 22.314451211)"
10, ,02/01/2019,Central,"No. 0009, Nine Queen's Road Central, Queen's Road Central, Central, Hong Kong",29,B,7830,775170.0,@$99,Market,"(834351, 815710)","(114.158273188, 22.280260347)"
11, ,02/01/2019,Yau Ma Tei,"No. 0528, Onward Building, Nathan Road, Yau Ma Tei, Kowloon",11,2,859,28502.0,@$33,Market,"(835651, 819360)","(114.170886039, 22.313223059)"
12, ,02/01/2019,San Po Kong,"No. 0033, Port 33, Tseuk Luk Street, San Po Kong, Kowloon",21,3,2776,66624.0,@$24,Market,"(838411, 821819)","(114.197676633, 22.335428046)"
13, ,02/01/2019,Wan Chai,"No. 0199, Tung Wah Mansion, Hennessy Road, Wan Chai, Hong Kong",19,2,973,25785.0,@$27,Market,"(836026.1, 815469.3)","(114.174527163, 22.278087716)"
14, ,02/01/2019,Central,"No. 0068, V Plus, Wellington Street, Central, Hong Kong",8,WF,1310,41920.0,@$32,Market,"(834095.3384, 815256.2712)","(114.155793049, 22.276162583)"
15, ,02/01/2019,Wan Chai,"No. 0077-0083, 83 Wan Chai Road, Wan Chai Road, Wan Chai, Hong Kong",16,WF,2206,66180.0,@$30,Market,"(836058.9, 815279)","(114.17484545, 22.276369189)"
16, ,02/01/2019,Ap Lei Chau,"No. 0002, Oceanic Industrial Centre, Lee Lok Street, Ap Lei Chau, Hong Kong",20,27,1118,17888.0,@$16,Market,"(833884, 810957)","(114.1537488, 22.237337035)"
17, ,02/01/2019,Tsuen Wan,"No. 256-264, Texaco Road Industrial Centre, Texaco Road, Tsuen Wan, New Territories",11,8,2443,24430.0,@$10,Market,"(829921, 825186)","(114.115250198, 22.365823568)"
18, ,02/01/2019,Mong Kok,"No. 193, Grand Century Place Tower 1, Prince Edward Road West, Mong Kok, Kowloon",11,01-02&17-20,7682,345690.0,@$45,Market,"(835756, 820447)","(114.171904777, 22.323039351)"
19, ,02/01/2019,Kwun Tong,"No. 0388, Millennium City 1 Standard Chartered Twr, Kwun Tong Road, Kwun Tong, Kowloon",31,10-19,10441,302789.0,@$29,Market,"(840859, 819405)","(114.221432626, 22.313623412)"
20, ,12/03/2019,Kwun Tong,"No. 0170, Fung Yip Industrial Building, Wai Yip Street, Kwun Tong, Kowloon",13,D,1307,12417.0,@$10,Market,"(840761, 819052)","(114.220480489, 22.310435869)"
21, ,12/03/2019,Hung Hom,"No. 0038, The Metropolis, Metropolis Drive, Hung Hom, Kowloon",11,15-16,2916,99144.0,@$34,Market,"(836957.5, 818159.1)","(114.183565809, 22.302378172)"
