 ,Instrument Date,District,Property,Floor,Unit,Area,Price,Price/sq.ft.,Source,
 ,01/05/2019,Kwun Tong,"No. 0448-0458, Kwun Tong Industrial Centre Block 3, Kwun Tong Road, Kwun Tong, Kowloon",6,M,"Approx. 1,973 sq.ft.","For Rent $26,800",@$14,Market,Latest Stock
 ,01/05/2019,Kwun Tong,"No. 0006, Fully Industrial Building, Tsun Yip Lane, Kwun Tong, Kowloon",2,B08,Approx. 210 sq.ft.,"For Rent $4,410",@$21,Market,Latest Stock
 ,01/05/2019,Western,"No. 0062, Yiuga Factory Building, Victoria Road, Western, Hong Kong",8,A,"Approx. 1,817 sq.ft.","For Rent $23,621",@$13,Market,Latest Stock
 ,01/05/2019,Kwai Chung,"No. 0223, Metroplaza II, Hing Fong Road, Kwai Chung, New Territories",23,1,"Approx. 3,173 sq.ft.","For Rent $76,152",@$24,Market,Latest Stock
 ,01/05/2019,North Point,"No. 0009, Jupiter Tower, Jupiter Street, North Point, Hong Kong",10,2,Approx. 476 sq.ft.,"For Rent $12,376",@$26,Market,Latest Stock
 ,01/05/2019,Kowloon Bay,"No. 0002, Pacific Trade Centre, Kai Hing Road, Kowloon Bay, Kowloon",7,04-05,"Approx. 1,446 sq.ft.","For Rent $15,906",@$11,Market,Latest Stock
 ,01/05/2019,Kwai Chung,"No. 0223, Metroplaza II, Hing Fong Road, Kwai Chung, New Territories",12,8,"Approx. 1,457 sq.ft.","For Rent $37,882",@$26,Market,Latest Stock
 ,01/05/2019,Kwai Chung,"No. 1-11, Mai Sik Industrial Building, Kwai Ting Road, Kwai Chung, New Territories",14,A,"Approx. 6,075 sq.ft.","For Rent $72,900",@$12,Market,Latest Stock
 ,01/05/2019,San Po Kong,"No. 0007, Lee Chung Industrial Building, Tsat Po Street, San Po Kong, Kowloon",7,B(27),Approx. 390 sq.ft.,"For Rent $6,000",@$15,Market,Latest Stock
 ,01/05/2019,Hung Hom,"Shop 5 on G/F, , No.0015B Station Lane, Hung Hom, Kowloon",-,-,Approx. 246 sq.ft.,"For Rent $16,000",@$65,Market,Latest Stock
 ,01/05/2019,Cheung Sha Wan,"No. 883, Elite Industrial Centre, Cheung Sha Wan Road, Cheung Sha Wan, Kowloon",4,06B,Approx. 928 sq.ft.,"For Rent $18,560",@$20,Market,Latest Stock
 ,01/05/2019,Kwun Tong,"No. 0002, New City Centre, Lei Yue Mun Road, Kwun Tong, Kowloon",5,14,Approx. 792 sq.ft.,"For Rent $14,000",@$18,Market,Latest Stock
 ,01/05/2019,North Point,"No. 0009, Jupiter Tower, Jupiter Street, North Point, Hong Kong",10,6,Approx. 562 sq.ft.,"For Rent $12,926",@$23,Market,Latest Stock
 ,01/05/2019,Tsuen Wan,"No. 0002-0006, The Octagon, Sha Tsui Road, Tsuen Wan, New Territories",15,W/F,"Approx. 15,251 sq.ft.","For Rent $274,518",@$18,Market,Latest Stock
 ,01/05/2019,Tsuen Wan,"No. 168, Tak Fung Industrial Centre 1, Texaco Road, Tsuen Wan, New Territories",25,14,"Approx. 1,159 sq.ft.","For Rent $11,000",@$9,Market,Latest Stock
 ,01/05/2019,San Po Kong,"No. 0002/0004, Tontex Industrial Building, Sheung Hei Street, San Po Kong, Kowloon",11,B(21),Approx. 257 sq.ft.,"For Rent $5,300",@$21,Market,Latest Stock
