, ,instrument date,district,property,floor,unit,area_sq.ft.,price,price/sq.ft.,source,e_n
0, ,17/01/2019,Shek Mun,"No. 0019, New Commerce Centre, On Sum Street, Shek Mun, New Territories",11,12,1053,15269.0,@$15,Land Registry,"(839386, 827766)"
1, ,17/01/2019,Tsim Sha Tsui East,"No. 0014, New Mandarin Plaza Tower A, Science Museum Road, Tsim Sha Tsui East, Kowloon",12,7,991,29200.0,@$29,Market,"(836408, 817920)"
2, ,17/01/2019,Wan Chai,"No. 0199, Tiffan Tower, Wan Chai Road, Wan Chai, Hong Kong",1,WF,3342,177126.0,@$53,Market,"(836443, 815427)"
3, ,17/01/2019,Kwun Tong,"No. 0010, TG Place, Shing Yip Street, Kwun Tong, Kowloon",20,G,1787,53800.0,@$30,Market,"(841312, 819039)"
4, ,02/01/2019,Kwun Tong,"Shop 3 on G/F, , No.0001 Horse Shoe Lane, Kwun Tong, Kowloon",-,-,600,73000.0,@$122,Market,"(840944.15625, 819498.835270001)"
5, ,02/01/2019,Yuen Long,"Shop 8 on G/F, , Hing Nin Bldg, No.0030-0036 Hop Yick Road, Yuen Long, New Territories",-,-,500,70000.0,@$140,Market,"(821291, 833629)"
6, ,02/01/2019,Tai Kok Tsui,"Shop G01 on G/F, G/F, Florient Rise, No.0038 Cherry Street, Tai Kok Tsui, Kowloon",-,-,1188,48000.0,@$40,Market,"(834673, 819919)"
7, ,02/01/2019,Yau Ma Tei,"No. 0002, Wing Sing Commerical Building, Wing Sing Lane, Yau Ma Tei, Kowloon",11,WF,828,18498.0,@$22,Market,"(835642.43967, 819100.35249)"
8, ,02/01/2019,Cheung Sha Wan,"No. 0015, D2 Place Two, Cheung Shun Street, Cheung Sha Wan, Kowloon",9,D,6355,139810.0,@$22,Market,"(833254.698, 821898.346)"
9, ,02/01/2019,Yau Ma Tei,"No. 0558-0560, Grand Place, Nathan Road, Yau Ma Tei, Kowloon",19,1,660,24288.0,@$37,Market,"(835623, 819496)"
10, ,02/01/2019,Central,"No. 0009, Nine Queen's Road Central, Queen's Road Central, Central, Hong Kong",29,B,7830,775170.0,@$99,Market,"(834351, 815710)"
11, ,02/01/2019,Yau Ma Tei,"No. 0528, Onward Building, Nathan Road, Yau Ma Tei, Kowloon",11,2,859,28502.0,@$33,Market,"(835651, 819360)"
12, ,02/01/2019,San Po Kong,"No. 0033, Port 33, Tseuk Luk Street, San Po Kong, Kowloon",21,3,2776,66624.0,@$24,Market,"(838411, 821819)"
13, ,02/01/2019,Wan Chai,"No. 0199, Tung Wah Mansion, Hennessy Road, Wan Chai, Hong Kong",19,2,973,25785.0,@$27,Market,"(836026.1, 815469.3)"
14, ,02/01/2019,Central,"No. 0068, V Plus, Wellington Street, Central, Hong Kong",8,WF,1310,41920.0,@$32,Market,"(834095.3384, 815256.2712)"
