,name,review,bookmark,smile,sad,address,district,cuisine,dish
0,Yadllie Plate,1235,80549,944,52,"11/F, CTMA Centre, 1 Sai Yeung Choi Street,","
          Mong Kok
         ","
             Korean Fried Chicken
            ","
             Korean
            "
1,Dodam Chicken (利舞臺廣場),1080,41429,912,22,"18/F., Shop A, Lee Theatre Plaza, 99 Percival Street,","
          Causeway Bay
         ","
             Korean Fried Chicken
            ","
             Korean
            "
2,Outdark (厚福街),658,36973,544,14,"17/F, H8, 8 Hau Fook Street,","
          Tsim Sha Tsui
         ","
             Korean Fried Chicken
            ","
             Korean
            "
3,Sodam Chicken,1330,57055,1018,66,"7/F, 3 Yiu Wa Street, Bartlock Centre,","
          Causeway Bay
         ","
             Korean Fried Chicken
            ","
             Korean
            "
4,Bingo & Cook,1148,34010,991,22,"2/F, L'Hart, 487-489 Lockhart Road,","
          Causeway Bay
         ","
             Korean Fried Chicken
            ","
             Korean
            "
5,Goobne Chicken (The Hart),836,48028,636,20,"2/F, The HART, 4 Hart Avenue,","
          Tsim Sha Tsui
         ","
             Korean Fried Chicken
            ","
             Korean
            "
6,Goobne Chicken (V Point ),588,16091,503,13,"25/F, V Point, 18 Tang Lung Street,","
          Causeway Bay
         ","
             Korean Fried Chicken
            ","
             Korean
            "
7,Goobne Chicken (瓊華中心),766,33548,564,23,"15/F, King Wah Centre, 628 Nathan Road,","
          Mong Kok
         ","
             Korean Fried Chicken
            ","
             Korean
            "
8,Wingman (閣麟街),296,10225,270,1,"6/F, Cheung Hing Commercial Building, 37-43 Cochrane Street,","
          Central
         ","
             Korean Fried Chicken
            ","
             Western
            "
9,Pizza Maru,397,17753,298,6,"Shop 1302, 13/F, Hysan Place, 500 Hennessy Road,","
          Causeway Bay
         ","
             Korean Fried Chicken
            ","
             Korean
            "
10,My Ahjussi,205,5514,194,1,"G/F, 39 Tai Tsun Street,","
          Tai Kok Tsui
         ","
             Korean Fried Chicken
            ","
             Korean
            "
11,Wingman (船街),220,5688,204,2,"G/F, 33 Ship Street,","
          Wan Chai
         ","
             Korean Fried Chicken
            ","
             Western
            "
12,Goobne Chicken (威靈頓街),341,22729,284,10,"5/F, M88, Wellington Place, 2-8 Wellington Street,","
          Central
         ","
             Korean Fried Chicken
            ","
             Korean
            "
13,Chicken HOF & SOJU (Hillwood Road) 李家 (山林道),184,5075,176,0,"Shop 2, G/F, The Leader Commercial Building, 54-56 Hillwood Road,","
          Tsim Sha Tsui
         ","
             Korean Fried Chicken
            ","
             Korean
            "
14,NeNe Chicken (朗豪坊),549,13687,299,61,"Shop 30, 11/F, Lang Ham Place, 8 Argyle Street,","
          Mong Kok
         ","
             Korean Fried Chicken
            ","
             Korean
            "
15,Korean Loft Cafe 韓閣,187,5367,140,12,"Shop G4-6, G/F, Foo Yu Building, 275 Castle Peak Road,","
          Tsuen Wan
         ","
             Korean Fried Chicken
            ","
             Korean
            "
16,Goobne Chicken (荃新天地),362,10089,282,9,"Shop G29, G/F, Citywalk 1, 1 Yeung Uk Road,","
          Tsuen Wan
         ","
             Korean Fried Chicken
            ","
             Korean
            "
17,Pizza Maru,165,4103,150,2,"Shop 28&30, UG/F, Citywalk 1, 1 Yeung Uk Road,","
          Tsuen Wan
         ","
             Korean Fried Chicken
            ","
             Korean
            "
18,Korean Loft Cafe 韓閣,140,2615,110,6,"Shop 1015, MCP Central, 8 Yan King Road,","
          Tseung Kwan O
         ","
             Korean Fried Chicken
            ","
             Korean
            "
19,Jjigae Korean Style Restaurant 牛知己,224,8100,176,11,"Shop 26-27, G/F, Yuccie Square, 38 On Ning Road,","
          Yuen Long
         ","
             Korean Fried Chicken
            ","
             Korean
            "
20,Mr. Iron 熨烤達人,307,6212,209,23,"Shop 320B, 3/F, Plaza Hollywood, 3 Lung Poon Street,","
          Diamond Hill
         ","
             Korean Fried Chicken
            ","
             Korean
            "
21,Red Chicken 紅雞,295,12423,184,17,"Shop B, UG, Pacific Building, 65-67B  Kimberley Road,","
          Tsim Sha Tsui
         ","
             Korean Fried Chicken
            ","
             Korean
            "
22,Dalin Pocha 達人包車,285,20450,182,5,"78-81 Kimberley Road,","
          Tsim Sha Tsui
         ","
             Korean Fried Chicken
            ","
             Korean
            "
23,Goobne Chicken (天晉匯),207,6177,155,11,"Shop 119A, 1/F, Pop Walk II, 19 Tong Yin Street,","
          Tseung Kwan O
         ","
             Korean Fried Chicken
            ","
             Korean
            "
24,Aidan Cafe (Kam Shan Building) 小火焰韓式咖啡廳 (金山樓),93,1758,82,1,"Shop 4, G/F, Kam Shan Building, 1-35 Tai Wai Road,","
          Tai Wai
         ","
             Korean Fried Chicken
            ","
             Korean
            "
25,Seng Seng Korean Cuisine 星星 Pho Cha,182,10042,116,11,"G/F, Man Ying Building, 18 Man Ying Street,","
          Jordan
         ","
             Korean Fried Chicken
            ","
             Korean
            "
26,Kinabaji Korean Cafe and Restaurant 奇納百川,122,3914,78,13,"Shop LCX34, 3/F, Ocean Terminal, Harbour City, 3-27 Canton Road,","
          Tsim Sha Tsui
         ","
             Korean Fried Chicken
            ","
             Korean
            "
27,Seoulmate (MONTEREY Place),109,2236,83,6,"Shop G25B-G26A, G/F, MONTEREY Place , 23 Tong Chun Street,","
          Tseung Kwan O
         ","
             Korean Fried Chicken
            ","
             Korean
            "
28,Running Pig,76,1010,74,0,"Room 18, 10/F, Hi-tech Industrial Centre, 491-501 Castle Peak Road,","
          Tsuen Wan
         ","
             Korean Fried Chicken
            ","
             Korean
            "
29,Seoul House 首爾家韓國料理,280,12985,205,14,"1/F, Hotel Pennington, 13-15 Pennington Street,","
          Causeway Bay
         ","
             Korean Fried Chicken
            ","
             Korean
            "
30,hoo 포차 hoo韓國包車,47,5506,34,2,"22/F, The Lamma Tower, 12-12A Hau Fook Street,","
          Tsim Sha Tsui
         ","
             Korean Fried Chicken
            ","
             Korean
            "
31,NeNe Chicken (形點),262,4641,142,42,"Shop 1026, 1/F, Yoho Mall I, 9 Yuen Lung Street,","
          Yuen Long
         ","
             Korean Fried Chicken
            ","
             Korean
            "
32,ZAN CHEE (新城市廣場),67,1695,61,0,"Shop 157, L1 Phase 1, New Town Plaza, 18 Sha Tin Centre Street,","
          Sha Tin
         ","
             Korean Fried Chicken
            ","
             Korean
            "
33,Wingman,66,3037,59,0,"17/F, Mongkok Metro, 594-596 Nathan Road,","
          Mong Kok
         ","
             Korean Fried Chicken
            ","
             International
            "
34,All I Wana Eat 最想吃,63,2198,59,0,"3/F, 83 Wan Chai Road,","
          Wan Chai
         ","
             Korean Fried Chicken
            ","
             International
            "
35,Han Ga Korean Restaurant 韓家韓國料理,207,8262,98,37,"Shop G, 1/F, COS Centre, 56 Tsun Yip Street,","
          Kwun Tong
         ","
             Korean Fried Chicken
            ","
             Korean
            "
36,HAN Chicken & Snack 韓 炸雞 & 小食,58,1417,50,0,"Shop B201-9-10, B2/F, K11 Musea, Victoria Dockside, 18 Salisbury Road,","
          Tsim Sha Tsui
         ","
             Korean Fried Chicken
            ","
             Korean
            "
37,Sigwonggai 時光雞,60,1068,54,0,"Shop 58, G/F, Wah Lok Mansion, 2 Tsing Shan Square,","
          Tuen Mun
         ","
             Korean Fried Chicken
            ","
             Hong Kong Style
            "
38,Chicken HOF & SOJU (Tai Hong Street) 李家 (太康街),75,1962,60,3,"Shop L, G/F, Lai Wan Building, 1 Tai Hong Street,","
          Sai Wan Ho
         ","
             Korean Fried Chicken
            ","
             Korean
            "
39,MisoMan,57,449,54,1,"Shop 56--57, 1/F, Cheong Ning Building,Tsuen Cheong Centre , 202-216 Sai Lau Kok Road,","
          Tsuen Wan
         ","
             Korean Fried Chicken
            ","
             Korean
            "
