,name,review,bookmark,smile,sad,address,district,cuisine,dish,Latitude,Longitude,Easting,Northing
0,Yadllie Plate,1235.0,80549,944.0,52.0,"11/F, CTMA Centre, 1 Sai Yeung Choi Street,",Mong Kok,Korean Fried Chicken,Korean,22.31578,114.17057,835619,819643
1,Dodam Chicken (利舞臺廣場),1080.0,41429,912.0,22.0,"18/F., Shop A, Lee Theatre Plaza, 99 Percival Street,",Causeway Bay,Korean Fried Chicken,Korean,22.2783,114.18316,836916,815493
2,Outdark (厚福街),658.0,36973,544.0,14.0,"17/F, H8, 8 Hau Fook Street,",Tsim Sha Tsui,Korean Fried Chicken,Korean,22.29958,114.17455,836028,817849
3,Sodam Chicken,1330.0,57055,1018.0,66.0,"7/F, 3 Yiu Wa Street, Bartlock Centre,",Causeway Bay,Korean Fried Chicken,Korean,22.2777,114.1822,836817,815426
4,Bingo & Cook,1148.0,34010,991.0,22.0,"2/F, L'Hart, 487-489 Lockhart Road,",Causeway Bay,Korean Fried Chicken,Korean,22.28077,114.18278,836877,815766
5,Goobne Chicken (The Hart),836.0,48028,636.0,20.0,"2/F, The HART, 4 Hart Avenue,",Tsim Sha Tsui,Korean Fried Chicken,Korean,22.29795,114.17465,836039,817669
6,Goobne Chicken (V Point ),588.0,16091,503.0,13.0,"25/F, V Point, 18 Tang Lung Street,",Causeway Bay,Korean Fried Chicken,Korean,22.27911,114.18164,836759,815583
7,Goobne Chicken (瓊華中心),766.0,33548,564.0,23.0,"15/F, King Wah Centre, 628 Nathan Road,",Mong Kok,Korean Fried Chicken,Korean,22.31781,114.16991,835551,819868
8,Wingman (閣麟街),296.0,10225,270.0,1.0,"6/F, Cheung Hing Commercial Building, 37-43 Cochrane Street,",Central,Korean Fried Chicken,Western,22.28276,114.15394,833905,815987
9,Pizza Maru,397.0,17753,298.0,6.0,"Shop 1302, 13/F, Hysan Place, 500 Hennessy Road,",Causeway Bay,Korean Fried Chicken,Korean,22.27969,114.18385,836987,815647
10,My Ahjussi,205.0,5514,194.0,1.0,"G/F, 39 Tai Tsun Street,",Tai Kok Tsui,Korean Fried Chicken,Korean,22.32179,114.16107,834640,820309
11,Wingman (船街),220.0,5688,204.0,2.0,"G/F, 33 Ship Street,",Wan Chai,Korean Fried Chicken,Western,22.27555,114.17029,835590,815189
12,Goobne Chicken (威靈頓街),341.0,22729,284.0,10.0,"5/F, M88, Wellington Place, 2-8 Wellington Street,",Central,Korean Fried Chicken,Korean,22.28076,114.15602,834119,815766
13,Chicken HOF & SOJU (Hillwood Road) 李家 (山林道),184.0,5075,176.0,0.0,"Shop 2, G/F, The Leader Commercial Building, 54-56 Hillwood Road,",Tsim Sha Tsui,Korean Fried Chicken,Korean,22.3027,114.17463,836036,818195
14,NeNe Chicken (朗豪坊),549.0,13687,299.0,61.0,"Shop 30, 11/F, Lang Ham Place, 8 Argyle Street,",Mong Kok,Korean Fried Chicken,Korean,22.31883,114.16849,835404,819980
15,Korean Loft Cafe 韓閣,187.0,5367,140.0,12.0,"Shop G4-6, G/F, Foo Yu Building, 275 Castle Peak Road,",Tsuen Wan,Korean Fried Chicken,Korean,22.37315,114.11631,830031,825997
16,Goobne Chicken (荃新天地),362.0,10089,282.0,9.0,"Shop G29, G/F, Citywalk 1, 1 Yeung Uk Road,",Tsuen Wan,Korean Fried Chicken,Korean,22.37,114.11431,829824,825648
17,Pizza Maru,165.0,4103,150.0,2.0,"Shop 28&30, UG/F, Citywalk 1, 1 Yeung Uk Road,",Tsuen Wan,Korean Fried Chicken,Korean,22.37,114.11431,829824,825648
18,Korean Loft Cafe 韓閣,140.0,2615,110.0,6.0,"Shop 1015, MCP Central, 8 Yan King Road,",Tseung Kwan O,Korean Fried Chicken,Korean,22.32319,114.2582,844647,820466
19,Jjigae Korean Style Restaurant 牛知己,224.0,8100,176.0,11.0,"Shop 26-27, G/F, Yuccie Square, 38 On Ning Road,",Yuen Long,Korean Fried Chicken,Korean,22.44732,114.02769,820912,834217
