,Latitude,Longitude,Easting,Northing
0,22.31578,114.17057,835619,819643
1,22.2783,114.18316,836916,815493
2,22.29958,114.17455,836028,817849
3,22.2777,114.1822,836817,815426
4,22.28077,114.18278,836877,815766
5,22.29795,114.17465,836039,817669
6,22.27911,114.18164,836759,815583
7,22.31781,114.16991,835551,819868
8,22.28276,114.15394,833905,815987
9,22.27969,114.18385,836987,815647
10,22.32179,114.16107,834640,820309
11,22.27555,114.17029,835590,815189
12,22.28076,114.15602,834119,815766
13,22.3027,114.17463,836036,818195
14,22.31883,114.16849,835404,819980
15,22.37315,114.11631,830031,825997
16,22.37,114.11431,829824,825648
17,22.37,114.11431,829824,825648
18,22.32319,114.2582,844647,820466
19,22.44732,114.02769,820912,834217
20,22.3407,114.20197,838853,822403
21,22.30141,114.17495,836070,818052
22,22.30196,114.17564,836141,818113
23,22.3054,114.25955,844787,818496
24,22.37582,114.17709,836290,826292
25,22.30733,114.16651,835201,818707
26,22.296,114.16867,835423,817452
27,22.30226,114.26307,845150,818148
28,22.37497,114.10884,829261,826199
29,22.27868,114.18594,837202,815535
30,22.29964,114.17389,835960,817856
31,22.44404,114.0357,821736,833853
32,22.38198,114.18846,837461,826974
33,22.31629,114.17026,835586,819699
34,22.37263,114.10941,829320,825940
35,22.31109,114.22274,840994,819125
36,22.29418,114.1753,836106,817251
37,22.3888,113.97936,815928,827742
38,22.28333,114.22125,840841,816051
39,22.37095,114.12033,830444,825753
40,22.49961,114.14075,832551,840001
41,22.3579,114.12668,831098,824309
42,22.28136,114.18388,836990,815831
43,22.2799,114.18041,836633,815670
44,22.29001,113.94098,811959,816808
45,22.31566,114.17114,835677,819630
46,22.31598,114.26595,845446,819668
47,22.31182,114.18888,837505,819204
48,22.31877,114.26482,845329,819977
49,22.28295,114.15267,833774,816008
50,22.45262,114.16947,835506,834797
51,22.27499,114.1722,835787,815126
52,22.29067,114.20318,838979,816863
53,22.28486,114.1441,832890,816220
54,22.30804,114.17183,835748,818786
55,22.27788,114.18638,837247,815447
56,22.32011,114.16959,835518,820123
57,22.33613,114.14755,833247,821897
58,22.30169,114.17573,836151,818083
59,22.46244,113.99786,817843,835895
60,22.36867,114.13304,831754,825500
61,22.36902,114.12233,830650,825540
62,22.32272,114.18833,837449,820412
63,22.32758,114.16303,834841,820950
64,22.45216,114.16409,834952,834746
65,22.32015,114.16179,834713,820127
66,22.45387,114.16481,835026,834934
67,22.265,114.2353,842290,814021
68,22.28584,113.9427,812135,816346
69,22.28636,114.2187,840578,816386
70,22.26268,114.24875,843676,813765
71,22.28814,114.21141,839827,816583
72,22.3581,114.12762,831195,824330
73,22.38541,114.20466,839129,827354
74,22.28486,114.1441,832890,816220
75,22.42041,114.23039,841777,831231
76,22.31267,114.22462,841187,819299
77,22.28838,114.1566,834179,816609
78,22.29721,114.17067,835629,817587
79,22.33665,114.13955,832423,821955
80,22.39183,113.97804,815793,828078
81,22.3393,114.15251,833758,822248
82,22.30606,114.18854,837470,818567
83,22.31558,114.17094,835657,819621
84,22.36555,114.13669,832129,825155
85,22.40634,113.96271,814216,829687
86,22.28536,114.19175,837801,816275
87,22.40497,114.22333,841051,829520
88,22.2772,114.16442,834985,815371
89,22.28454,114.21196,839884,816185
90,22.29194,113.94881,812766,817021
91,22.39337,113.97583,815565,828249
92,22.28126,114.22111,840827,815822
93,22.28185,114.15309,833816,815886
94,22.31877,114.26482,845329,819977
95,22.3191,114.17147,835711,820011
96,22.3692,114.11687,830088,825560
97,22.3282,114.18885,837502,821019
98,22.31578,114.17057,835619,819643
99,22.2783,114.18316,836916,815493
100,22.29958,114.17455,836028,817849
101,22.2777,114.1822,836817,815426
102,22.28077,114.18278,836877,815766
103,22.29795,114.17465,836039,817669
104,22.27911,114.18164,836759,815583
105,22.31781,114.16991,835551,819868
106,22.28276,114.15394,833905,815987
107,22.27969,114.18385,836987,815647
108,22.32179,114.16107,834640,820309
109,22.27555,114.17029,835590,815189
110,22.28076,114.15602,834119,815766
111,22.3027,114.17463,836036,818195
112,22.31883,114.16849,835404,819980
113,22.37315,114.11631,830031,825997
114,22.37,114.11431,829824,825648
115,22.37,114.11431,829824,825648
116,22.32319,114.2582,844647,820466
117,22.44732,114.02769,820912,834217
118,22.3407,114.20197,838853,822403
119,22.30141,114.17495,836070,818052
120,22.30196,114.17564,836141,818113
121,22.3054,114.25955,844787,818496
122,22.37582,114.17709,836290,826292
123,22.30733,114.16651,835201,818707
124,22.296,114.16867,835423,817452
125,22.30226,114.26307,845150,818148
126,22.37497,114.10884,829261,826199
127,22.27868,114.18594,837202,815535
128,22.29964,114.17389,835960,817856
